id,volume,addTime
1@31517,7,37297
1@68449,2,37287
5@47750,2,36242
13@46538,1,37687
5@94252,1,37428
5@2093,3,37241
2@414,5,36935
5@3508,2,38293
9@10751,10,50800
15@52072,1,51085
5@20963,2,50586
2@15515,4,65094
12@55280,7,74850
24@11733,1,51066
12@58640,4,70778
29@76593,3,50367
5@95419,2,40003
2@67122,2,36191
6@79680,2,35943
2@86827,6,35307
5@73808,1,36217
1@6833,3,35983
2@29713,1,36494
5@52293,3,36340
5@59486,2,36148
33@71239,1,35601
2@15670,2,34656
12@8493,3,34849
11@31304,5,35482
1@20410,5,35473
2@50690,2,57753
5@36328,2,59683
21@19989,1,41361
8@7869,4,79564
4@15915,1,60573
32@99243,1,45807
5@95165,2,37872
22@94543,4,37325
2@98108,3,37303
2@95699,2,38536
11@79286,3,38480
5@7315,3,38161
2@44079,1,38577
5@4409,3,37779
19@38009,5,34958
36,9969,38492
33@15667,4,34133
9@8307,10,37585
5@20401,3,37521
1@42583,4,36779
6@93809,2,65961
2@90078,7,59650
2@3441,6,40982
5@59574,1,82124
8@37316,4,61076
9@87967,8,41205
23@34286,1,39890
5@83677,2,40346
2@80860,2,39367
12@53819,4,39754
37,582,37016
5@76132,2,38750
5@63738,1,38861
37@3955,1,38842
2@3456,3,38202
38,27080,50496
2@59236,3,36018
2@42467,3,37535
2@37384,1,37754
2@10659,3,37216
9@99162,5,80029
22@34635,4,59181
1@32833,9,39149
2@35369,5,68134
22@20724,3,62110
9@8198,3,47533
2@34270,5,46954
1@21738,5,42547
9@95984,4,40228
5@62781,3,39394
33@30309,3,39836
1@89619,3,38876
2@52448,4,38723
2@16476,3,37952
29@5616,9,37638
39,13565,43633
24@94328,1,36568
1@50886,6,37063
9@7076,6,37746
11@61787,2,37734
6@56946,1,43305
9@97817,5,73218
9@75298,8,65185
39@40542,1,51999
5@30211,1,79251
40,8242,75548
33@44351,5,61629
2@67747,4,54956
2@41499,7,49073
32@4982,1,47904
15@62831,1,46463
41,13999,53327
13@7495,1,44611
1@98073,6,68506
7@29083,1,53305
11@16541,4,66579
21@81749,1,70146
21@37299,2,63092
42,29375,79991
29@82197,5,45284
42@35343,2,44706
1@97922,4,43415
2@9075,3,42264
2@68927,3,41106
5@5749,1,41696
43,8452,41140
4@60398,3,36688
13@88310,2,37313
2@41084,4,37135
2@60715,2,36700
5@40427,2,36947
5@84650,2,36907
2@87025,5,36190
2@33542,2,37795
2@84380,7,51062
1@84918,1,52062
24@8484,1,50687
2@36339,4,50475
44,7076,54133
21@51573,1,61097
33@25941,4,82656
45,5171,48818
5@71308,3,63784
12@35035,5,61897
9@75768,9,54582
5@61419,4,43605
5@80553,3,37894
1@30374,3,36162
2@67648,4,36294
46,11350,41952
9@22586,8,36337
32@28363,1,36839
2@69804,4,36269
1@73904,4,36479
2@35,5,35961
2@36696,4,35672
2@75413,7,35708
1@42420,9,34569
2@56888,6,34894
5@47392,1,34761
5@8069,2,34694
5@7359,4,34828
9@29425,10,34717
19@91695,3,35295
2@78749,3,35461
5@19578,3,35799
1@66100,4,72078
2@42529,1,64351
12@62421,10,46438
27@98963,1,59656
2@24546,1,92886
1@32928,6,62687
12@49005,5,49350
13@80744,1,39759
24@58341,1,38017
5@91617,2,38117
42@53011,1,38822
1@97398,4,38856
2@4410,5,38402
1@11823,7,39131
6@25605,2,38906
1@34649,5,38096
5@83401,3,37822
1@67530,3,38164
9@87472,9,37891
5@64459,3,36769
1@57441,7,34173
22@58792,6,34042
1@89303,5,34078
2@43506,3,35034
5@39795,2,37556
27@49931,1,37253
19@92276,1,37026
22@83798,5,35204
2@1191,2,62052
9@85492,7,67194
2@85247,7,44383
47,5772,40082
48,15158,81844
0@18047,1,70156
31@39297,7,52827
11@99970,4,40213
5@47347,2,39497
24@53893,1,41069
1@71923,4,40459
1@42881,4,41542
12@49139,4,39473
1@92436,2,39476
44@82857,1,39461
1@79494,8,37865
9@252,7,38329
32@62483,1,38737
1@57826,3,37637
9@16170,11,37519
33@73226,1,37581
3@11346,2,37508
1@11605,4,37015
22@98881,3,37905
9@42512,7,37260
49,10681,44415
19@61257,5,37616
1@41320,4,46123
5@93409,5,85446
1@70238,3,58901
9@52425,6,39003
9@58333,10,40418
5@83991,3,62536
9@81870,8,83667
1@78284,10,55638
5@63267,2,48761
13@66160,1,48995
9@78183,10,47342
5@2916,2,42436
5@16686,3,41372
9@84691,6,39818
9@72751,10,39926
15@68808,2,40351
1@27305,2,39985
5@73646,1,39227
1@53049,3,39101
1@64462,7,38057
12@80423,4,37397
1@74698,8,36686
1@50218,6,37925
9@90838,8,38238
13@17999,1,36542
49@74680,1,36551
1@194,3,38336
1@43716,6,37952
9@39750,9,37850
1@7337,6,36762
5@53131,1,72846
9@42046,10,82054
5@27907,5,56370
32@85084,1,42035
5@69188,2,40318
19@79550,2,72389
1@41479,4,67945
1@89274,4,59685
33@19358,3,58116
1@4200,3,47694
9@77559,11,43091
1@43024,7,41391
5@96835,3,41212
1@36730,6,39547
5@54971,2,40000
1@30884,7,39301
1@23496,5,38567
5@22766,5,38883
5@18638,1,38886
9@14347,8,37604
5@28275,2,38516
13@93701,1,38642
1@36326,5,38108
15@81197,2,38553
50,82,36294
1@90016,3,38372
33@68269,1,38305
1@4781,2,38506
1@26518,5,38077
13@78187,3,38150
9@46144,8,60747
1@34295,4,83074
1@1834,5,77302
1@20057,5,42459
5@71233,1,47723
32@94056,3,53905
9@49482,7,83278
1@74700,3,67066
9@50648,6,62515
5@76434,1,54494
5@5542,3,47938
15@93453,2,42199
1@21631,2,41722
5@79654,5,40001
1@47529,9,39716
5@6978,2,39759
1@68666,7,39228
12@82460,4,38865
9@67741,6,39071
5@90878,1,38369
1@95115,5,38106
1@58338,9,38299
15@11590,4,38129
12@61476,5,38652
1@32274,6,38183
1@11365,6,35932
41@25373,1,37135
9@23437,5,38233
1@78740,4,38037
1@36587,2,38003
1@72022,5,37568
9@57237,4,41499
49@39966,1,75537
1@14914,4,85195
9@15511,8,68119
1@38655,3,69686
5@44852,3,52646
9@33199,9,54663
20@86371,1,82353
33@74827,3,75473
5@48776,3,68930
1@42489,6,65010
9@78758,8,57948
9@73534,6,50663
5@45417,2,50140
51,882,49994
19@75598,7,45441
5@75538,2,82210
1@99951,6,53048
9@89138,2,44817
5@95043,2,44153
29@99496,5,53646
9@40156,5,84606
5@10844,1,71799
9@92450,5,64053
5@10584,1,56585
1@65457,5,54662
1@24557,3,49094
5@51271,2,43345
9@48280,10,42232
52,2412,44662
9@15914,9,43258
15@32911,2,43068
13@34177,1,43008
12@16992,9,43204
9@93064,11,43531
13@61289,1,43310
2@69601,3,42919
2@86170,9,42666
13@70464,1,42798
5@49821,1,42775
2@66822,4,42149
9@48491,10,41950
2@49548,1,42195
2@47083,6,41955
6@40771,2,42162
9@83639,8,41515
1@90893,1,42190
33@81837,4,39929
5@98545,2,42282
15@31396,2,50658
5@41793,1,50582
1@13492,1,50513
31@36506,2,50405
9@94120,9,50421
11@68429,6,52297
9@36981,7,50323
9@22881,10,50293
9@74986,7,83835
12@29283,6,82702
5@44292,2,83380
2@3237,5,46439
2@31629,2,46889
2@17638,5,63547
22@66221,4,89308
12@67318,6,61439
1@79241,6,54650
39@66693,1,45358
33@69804,2,35672
2@66316,5,34500
1@37936,3,35564
2@85766,4,37069
33@18790,2,37844
2@4936,5,36586
22@40801,3,36690
1@75228,4,36498
2@66375,3,36565
2@30548,6,35769
2@84940,1,35835
2@52719,2,35999
2@21121,3,36483
5@92394,4,36759
12@89780,8,36729
15@55417,2,36507
1@4294,7,35559
2@20005,7,35043
15@47959,3,33418
1@49724,7,32956
33@80060,1,34581
2@2102,3,34692
11@68914,3,34599
39@16639,2,36257
53,4286,38614
6@7216,1,35568
2@17267,2,37325
2@25825,4,36976
24@51825,1,37273
2@57900,2,36940
2@12325,3,70316
13@19750,1,85789
54,8109,60758
41@38684,1,35910
2@35574,1,38854
2@28816,4,60760
2@29872,4,80801
15@64043,3,63487
24@60726,1,52499
19@75509,7,40668
2@43899,5,39942
2@39481,3,38776
19@34726,5,37939
1@94924,4,37569
24@13592,2,37392
1@19071,2,37141
39@18077,1,38153
5@14228,1,37267
2@42959,5,36525
2@84749,4,37002
32@10135,1,37668
22@73888,5,37305
9@64370,2,37020
2@82582,2,36884
1@62241,6,36273
12@78692,7,34014
40@3706,2,33164
6@54782,1,33385
9@73258,8,32880
1@43597,6,32426
33@82584,4,33010
1@20148,7,32304
33@42566,1,33657
2@68746,2,35409
55,934,35495
9@24051,11,35841
15@34192,2,35700
12@97607,6,35557
9@40655,8,35573
2@60889,3,35057
9@30759,8,66339
33@86113,3,81889
12@54916,7,64737
2@77781,3,75497
2@86840,8,41249
1@18270,6,51050
2@33681,3,49496
2@23755,2,91041
2@99582,4,76915
49@96590,1,63233
24@26760,2,47953
2@54496,5,46508
26@53696,1,40716
9@67737,8,39832
32@61211,1,40487
40@78248,2,40091
15@75632,1,40945
2@364,2,39749
2@34291,1,38489
19@68050,5,38385
11@77618,8,38522
2@3254,2,38850
1@29891,8,38046
2@81649,1,38044
9@28868,8,37862
49@68417,1,38773
29@92422,8,38589
2@52826,2,38703
2@66464,6,37513
2@31106,3,36712
2@734,4,36478
2@60379,3,36599
5@83871,2,37043
33@63039,1,36907
2@53620,5,37087
32@64197,3,37132
5@60093,1,37485
1@61310,7,37785
41@14748,1,37852
56,15645,46407
2@26934,3,37369
9@71332,8,36976
3@89152,2,34347
5@295,1,33709
2@31084,5,66575
57,12891,58129
5@26932,1,35230
16@83117,1,37135
12@2810,4,44880
9@42323,5,57951
2@22767,3,89919
11@64604,5,63338
58,3832,59396
2@32993,3,47730
2@18457,2,47766
2@77595,2,49034
5@62158,1,50209
33@3386,1,41725
2@60788,4,40412
57@89811,2,41630
5@65283,4,38526
4@89328,2,38580
1@78726,7,38148
44@63781,1,39463
32@82421,2,39457
5@89905,1,39412
8@58846,4,38037
24@58014,1,37345
1@21061,3,36103
2@10867,3,36549
6@47252,1,36668
12@92830,6,37397
33@90181,1,37991
15@95123,1,37914
5@99524,2,37474
8@45893,8,36954
1@73586,6,35873
2@87414,3,37999
1@70356,6,37873
32@78625,2,37661
44@98391,1,37552
2@94486,5,37204
1@6909,3,37755
46@22729,1,37274
12@69532,5,55079
5@62491,1,84397
15@15646,2,75226
20@95823,1,68309
2@96501,6,67955
59,8724,53830
12@97278,6,38523
13@23015,1,53416
53@75,2,91725
1@8202,3,67054
2@66587,4,60649
6@67066,1,59385
2@66512,2,59285
33@18106,2,49157
32@83857,1,48733
5@93811,3,42145
2@50829,3,42555
2@99976,5,42330
5@64965,1,40206
2@54508,5,38711
13@77426,1,38715
11@18117,3,38556
2@50090,6,38712
2@55851,6,39231
37@52091,1,39750
1@60634,6,39297
9@21553,10,38592
5@30068,1,38330
33@43689,1,37819
1@98961,5,37691
26@90314,1,37865
32@5014,2,37964
1@89899,4,37668
5@15280,2,37687
5@52540,1,38049
5@67441,4,37922
2@35590,6,35725
2@92371,2,37737
49@85972,1,38260
32@11451,2,38041
2@6864,1,38237
1@13811,4,37885
22@8993,3,37910
32@93192,2,34335
32@53613,2,34116
9@18912,9,39741
2@34524,2,65018
60,17344,61834
2@95069,2,35626
15@66920,1,35716
9@4009,7,44057
2@99847,4,57786
5@4812,2,91086
43@41168,1,66354
15@71370,1,65254
5@12568,3,60986
12@574,6,57639
2@2761,4,50126
1@45130,4,49079
27@4379,1,41845
41@8512,1,42029
2@81991,3,41537
29@21790,6,40291
2@17184,2,39274
5@45972,1,39434
2@87072,3,40034
15@94491,2,40416
1@77580,7,39396
5@40781,2,38953
5@90970,1,38111
11@95134,4,37545
26@31133,1,37613
5@7732,4,38119
13@71177,1,38631
1@85165,2,38447
57@15698,1,38067
5@35509,1,38785
5@11897,2,38781
2@17408,4,38557
2@35087,7,38402
1@56361,3,37821
4@73403,1,38053
5@13778,2,38451
5@39394,4,36883
15@1971,1,37744
6@85854,1,38090
1@25270,4,37561
5@82040,3,37612
9@70923,5,75439
12@61273,3,82445
1@78463,3,75645
5@78920,2,73101
5@20050,2,69819
22@71997,4,42627
5@29178,2,46775
33@46857,3,73723
24@95225,1,89974
12@57151,4,70401
33@44805,2,67066
2@45838,4,61167
37@5554,1,59746
5@23539,2,49137
36@65484,1,49910
19@95527,2,46707
2@31878,3,42144
9@70130,10,42039
32@54925,1,41818
31@37802,4,39620
24@66932,1,40046
1@45179,5,38571
2@34877,6,39240
27@34121,1,39747
12@62411,4,40069
12@19878,5,39516
2@89741,3,39411
5@53423,2,38621
5@5486,1,38217
5@4329,2,38219
2@4347,2,38363
1@5322,4,38591
5@26880,2,38395
12@76762,6,37094
5@70135,1,38597
43@17385,1,38970
33@42099,1,38775
42@35271,4,36396
2@73420,1,37322
32@72349,1,38426
15@38536,3,38127
5@48626,1,38111
2@12054,4,37917
2@52288,2,37910
2@9162,4,47946
2@1718,3,51149
5@80423,2,51021
9@5334,7,50974
2@89448,2,61531
5@86340,4,82423
19@23206,5,83463
33@95326,4,84386
24@6441,1,79641
19@24589,5,47450
33@8734,3,38673
2@54873,2,44765
31@49381,5,47093
1@15961,6,66294
5@19181,2,83233
5@75607,1,71240
1@17002,3,63828
15@41239,3,61969
2@78621,2,58465
5@65762,3,52499
8@41709,4,46652
2@15390,7,44082
9@67069,6,39428
2@84670,4,39567
2@12755,1,41810
5@74309,2,40962
5@21298,1,37939
2@25237,2,38266
5@80094,1,38674
1@6659,4,39327
12@96412,6,38548
30@4399,1,38218
9@34988,6,37197
1@83223,4,36514
12@67700,6,36417
33@92442,1,37270
58@44572,1,37756
13@69874,2,37417
9@74927,10,37373
41@25116,1,38071
1@46539,5,37664
2@72696,2,37411
2@5700,7,37060
11@16118,2,37318
11@24680,5,36599
2@68619,3,35274
37@8416,1,37261
9@84177,9,36769
9@13084,11,36287
2@97570,5,36537
37@75702,1,36638
37@37480,2,36265
6@72614,1,36503
37@30033,1,36370
37@2220,1,36499
2@74889,8,77384
31@48706,2,83222
2@60669,3,82126
12@83230,11,81532
5@73817,2,74522
33@30128,1,51457
1@77771,2,42886
1@18611,7,46386
9@22010,10,46037
5@48638,1,56569
22@41643,1,53513
36@57351,2,91719
2@99586,1,71314
1@75985,1,65400
9@65889,9,61216
6@75029,1,57183
44@75314,1,46704
5@60415,3,46216
2@74470,5,46167
5@12196,1,41129
61,16398,52208
5@43486,1,41147
2@36394,6,39073
9@64142,4,39511
35@5472,1,79009
6@11946,1,66964
1@12098,8,53720
1@62899,2,51658
5@27080,1,51950
2@22637,2,52872
41@55651,1,53910
32@6815,1,61138
2@41003,4,95477
2@64313,3,90098
2@38381,3,79257
1@39415,4,73084
2@18805,2,70431
5@25809,3,65350
2@79496,2,60696
1@39307,8,55050
32@85165,1,50379
1@13852,5,46509
2@74700,4,46928
8@78379,2,48382
2@7802,5,46773
2@83582,1,44589
2@19407,4,44698
2@85692,3,46679
12@25873,7,46703
2@69528,6,45538
41@66897,1,45941
2@64349,2,46552
9@65858,10,45451
1@34005,3,45881
1@26042,5,44707
2@91151,5,44318
2@73202,5,44231
9@42724,7,44365
2@54707,3,43429
2@84148,2,44234
2@47939,2,44288
5@79077,2,43763
5@41783,1,41853
6@94403,2,40440
2@12713,4,40364
2@58044,5,40222
1@77255,7,40298
2@16895,4,40560
54@54924,1,44033
2@47362,3,42933
6@92923,2,43225
2@19935,2,42470
9@24291,6,42372
9@45700,6,42409
62,1814,45071
1@79588,3,42223
38@49170,1,42733
4@55659,1,50633
2@69193,2,50411
2@92422,4,50107
9@52883,7,50230
58@20998,1,53045
2@43117,7,50116
9@43374,11,50008
41@73297,1,50374
1@88966,8,49928
5@41775,2,50197
5@14090,1,50362
2@99087,4,50354
2@56291,3,49985
44@54863,1,50677
38@7071,2,50417
42@70605,2,50360
27@42068,1,50356
2@41838,2,49647
5@60703,2,78276
1@37497,5,93809
2@28018,6,62417
4@53951,2,51144
24@74085,2,54335
5@8046,1,44750
2@14650,2,55267
1@99357,1,97037
9@8285,9,73791
4@10059,1,67033
5@45052,2,63896
52@85433,1,61298
63,24558,73870
2@1148,3,43278
1@52462,6,44906
5@37044,2,42928
6@75860,1,41941
9@27775,6,41698
5@91703,4,41095
5@93250,1,41996
18@72640,1,44002
9@41741,7,38573
9@56089,6,38483
5@99925,1,38510
11@73328,3,37286
2@30444,4,36830
9@63387,4,36927
19@86671,3,35885
6@95534,2,36398
6@89131,1,36684
2@66686,5,36855
2@9941,3,37995
2@23057,4,38827
5@84468,3,38499
2@67220,2,38330
5@2254,2,38561
64,2440,39256
2@45526,4,38327
5@37948,1,38029
5@43188,3,37967
37@9036,1,37915
12@53213,5,37548
2@3602,5,37857
2@86427,2,37615
38@94894,2,37640
41@38297,2,35618
2@10133,5,37361
38@5544,1,37484
27@18064,1,35230
9@25289,7,34543
2@3722,3,35379
1@85583,4,37053
2@43228,3,36772
13@44182,1,36578
9@69229,9,36421
2@2448,3,36389
5@96486,7,36482
2@85332,5,36436
2@21672,3,36604
2@91636,8,36467
2@8197,4,36335
32@72984,1,36550
2@47819,2,36606
2@17384,2,36560
2@36224,2,36488
9@55414,3,36533
9@10235,9,36656
2@41996,4,36624
5@47036,1,36458
53@47965,5,36397
1@20381,4,49882
1@55875,2,50077
9@6932,4,70714
9@92114,6,80379
2@51306,1,83907
2@42407,3,81218
6@34268,2,83501
42@51145,5,81225
1@39683,3,82812
42@95986,2,46498
65,10545,56864
2@18565,6,39059
2@66130,3,55448
2@42007,3,100121
2@86164,4,72519
2@8868,2,65979
5@30473,2,62422
11@59312,5,49665
2@88431,4,47119
2@62079,4,41185
66,7257,45425
2@27412,4,41614
11@47071,4,39778
67,1220,37989
6@36955,2,38649
6@92786,1,37791
5@80771,3,37834
9@37045,7,38255
5@4093,1,38379
2@25311,6,38262
6@728,2,39014
66@73682,1,38774
31@8233,6,36313
1@76239,3,37700
31@52937,10,37876
5@58342,1,38334
33@83017,4,38649
2@98130,2,38617
12@16475,10,38592
6@84706,2,39154
38@27321,1,39851
24@99616,3,38147
9@2854,7,38382
2@6891,3,38132
6@96229,3,37452
2@53189,4,35560
11@88580,2,35534
1@7746,4,35694
29@56290,6,36682
12@89138,7,36309
24@18685,1,36850
22@63088,5,36419
32@14954,1,36641
41@87080,1,36328
24@3491,1,34429
6@55862,2,34369
1@5295,6,33822
12@12573,7,33279
2@30492,2,33594
2@86313,5,33222
42@49090,2,33273
6@42489,3,33346
1@80147,6,33258
68,71,32857
24@93978,1,33570
13@58998,1,34809
12@90550,2,34838
6@55724,1,38012
32@97817,1,37250
32@89520,1,37151
11@13151,2,63459
2@78277,2,78652
6@36597,1,81280
0@35449,1,79333
5@60714,2,81485
9@65702,3,78504
5@52174,2,73996
2@17090,5,63770
1@21480,5,42386
2@37066,8,41332
2@69656,4,45167
2@31806,2,44939
5@95050,2,79415
6@57907,2,63196
5@65382,2,105075
29@4044,7,72304
22@20828,4,64384
6@18773,1,57776
2@82216,4,46642
12@74741,10,48127
53@92102,5,44643
13@60600,1,39564
12@32214,5,38912
9@52652,4,39484
2@80865,1,38645
2@77951,3,39039
9@73579,8,40661
2@48327,3,40688
13@18285,1,41610
2@26086,6,41712
60@61225,2,42098
6@47787,1,41222
2@81027,6,39441
9@81881,11,37063
2@46374,2,38214
1@47326,6,38085
58@96385,1,38576
9@30483,6,38672
13@52863,1,38976
0@59116,1,39344
12@78942,7,39344
9@71168,5,39666
69,4670,40919
5@20627,2,38687
33@81976,1,38083
2@60883,2,36282
38@33051,4,36952
29@89888,9,36706
2@38216,3,36634
43@24089,1,36925
1@94818,7,36734
13@43120,1,37199
2@67447,3,36410
1@47108,7,36144
70,22026,47184
6@16601,1,36664
12@3557,5,36521
33@53955,1,36631
37@30438,1,33955
31@93920,5,33949
1@45705,4,33541
1@7565,9,33630
71,7315,38097
49@76548,1,37453
19@38567,3,37542
6@49266,1,37823
13@7016,2,37621
24@85943,2,37372
10@30414,1,37068
12@98462,6,36986
2@89545,4,37077
2@35881,4,79145
2@28025,2,80255
9@30096,6,80361
22@57236,2,80197
2@24082,1,81572
40@84589,1,76144
2@23980,1,62042
24@9471,2,76210
2@2173,2,44452
40@45761,1,41547
24@68313,1,44098
43@27735,1,46222
27@62932,1,46571
2@7358,2,72340
1@68546,2,35724
2@33143,2,57641
39@92711,1,94791
2@9474,4,74599
2@69641,3,63496
27@20413,1,58093
0@13777,1,54358
12@51045,8,43924
66@98456,1,45293
2@30122,4,44174
1@83042,5,46263
5@95258,2,46743
0@19076,1,46817
44@84672,1,48922
2@96159,3,47927
2@92851,3,41047
0@6737,1,42798
2@13228,1,41801
2@74408,1,41858
2@58378,3,40777
24@57615,1,39228
24@67787,1,40222
1@64117,3,38520
1@74936,6,38742
12@64498,5,38714
2@82680,5,38950
41@69865,1,39318
24@72078,1,39636
2@92528,4,39015
2@50428,3,38943
41@76108,1,38364
1@33139,3,38140
9@29756,5,37447
2@83548,3,37241
2@90741,4,37237
6@97126,2,36550
2@30197,3,35834
9@13358,7,35866
1@8636,5,36395
0@57245,2,36464
2@23301,2,36234
1@78511,5,35756
31@71541,3,35509
2@40236,4,36508
3@67492,2,37242
6@68480,1,37240
22@61676,3,36981
1@3748,4,37198
29@59047,1,37308
11@32756,5,37830
24@98513,1,38098
2@46980,2,38052
48@12422,1,37860
12@56786,5,37548
1@86702,6,37259
2@41058,1,37659
6@50299,1,37408
1@89341,7,37197
11@13258,5,37205
6@75227,2,37559
2@38707,4,63465
15@20443,2,78121
72,2481,85539
6@93189,1,71883
12@81136,9,66793
6@59141,1,58800
5@78512,2,42150
41@48098,1,40107
11@21955,3,44424
44@54815,1,44879
2@95174,6,44037
2@76598,3,45724
6@11492,1,55102
33@41505,3,40404
49@59564,1,41078
2@88699,7,77114
41@66188,1,94280
1@99385,5,67759
1@99397,2,65216
5@75825,1,60669
26@62141,1,60672
6@73072,1,60818
15@87649,2,59926
9@36020,5,60483
6@63110,1,51474
1@29090,3,47324
24@78797,2,47312
2@42392,4,47572
9@55063,8,47800
9@98178,7,42831
2@74862,2,41444
2@61854,5,41149
9@15355,9,40255
6@38001,2,38572
13@95817,1,39168
1@31699,2,38727
13@47664,1,39025
3@98829,2,39066
24@63759,1,39364
6@40,1,40476
2@93856,3,40068
2@82011,3,39400
1@19763,6,38636
2@37106,6,38325
2@44865,3,37949
9@43543,12,37170
2@1184,3,37682
9@81475,5,37316
13@28672,1,37342
6@2304,2,37276
43@68080,2,37152
2@54269,4,36892
32@5943,1,36635
9@83432,7,36338
2@61947,2,36910
6@80393,3,37420
1@3011,6,37504
11@29329,10,37130
2@72069,7,37264
2@24823,3,34926
9@17828,11,37336
29@35741,3,38255
13@76252,1,38038
43@60647,1,38246
13@41907,1,38181
33@15399,2,37746
32@50243,1,37849
1@75715,8,37428
2@56794,4,37425
26@70715,1,37686
2@32046,6,37793
6@51452,1,39659
27@52584,1,81461
2@78009,3,81919
2@65608,4,81404
6@90729,1,83987
12@27894,4,77657
38@43931,1,75619
24@37963,1,63532
1@89897,3,68646
2@39990,6,69203
73,2206,45058
2@45378,8,44561
49@36441,1,45534
16@64404,1,67674
24@59795,1,38723
19@37489,4,38452
12@44333,7,40904
0@50165,2,46206
19@64219,7,58387
10@21150,1,104238
19@55961,6,71642
11@50589,4,67115
9@24952,4,65241
74,1701,66147
31@29437,11,63691
75,9524,66651
76,2363,61254
77,12215,63159
31@23391,7,47098
31@80921,7,47936
78,11477,50364
31@13574,7,42312
19@33785,6,41495
19@33673,7,40551
79,7761,47184
19@8686,4,40165
9@31903,6,38447
80,3388,41280
81,1227,38160
31@85741,6,39389
19@74355,8,39177
82,11270,45438
19@21876,1,40053
83,13483,46768
84,15843,45650
82@37274,1,37705
29@51115,7,36815
15@45185,2,37464
29@63242,2,37986
31@59217,9,37708
15@88442,1,38012
12@69494,4,37528
31@12625,8,37579
42@91145,3,38147
31@24219,4,37929
18@75463,1,38064
8@74949,3,37827
33@9303,2,38095
35@86404,1,38144
11@8776,5,35285
11@5184,7,35145
19@57385,3,38286
31@36699,8,38906
18@7232,1,38771
38@1679,1,38740
19@25286,5,36709
18@53164,1,37537
18@61766,2,38278
12@54587,7,37819
35@33564,2,38312
31@77513,6,37937
1@95629,7,38021
31@77852,8,38446
42@9288,4,37745
85,5106,39498
12@79384,6,37206
31@53078,6,46477
31@57169,9,72597
86,4661,94817
42@17750,2,69545
78@68733,2,77212
87,6653,47924
88,4206,38991
3@87715,3,37381
18@20968,1,37548
9@64844,9,37525
12@72540,10,38233
9@76517,6,38644
22@89454,2,41478
31@96259,5,42886
42@30580,5,49769
42@14611,4,75366
12@44906,4,96604
22@68699,3,71538
22@67686,5,69226
22@1984,3,66984
31@18455,3,65990
18@82130,2,64386
89,12658,69047
11@68634,7,53347
19@19834,3,50448
48@16952,2,48597
4@80207,1,51081
29@33847,8,40969
9@76150,7,40994
31@8224,11,40788
38@79933,3,41178
11@34281,2,42187
3@16100,3,41964
31@8149,9,39340
31@26796,4,40047
22@53432,2,40345
2@46581,4,40484
29@75059,4,40127
56@11292,1,40059
77@32992,2,39388
19@83849,6,37900
29@79068,9,37473
11@53135,4,37736
12@83557,5,37556
38@69146,1,37827
8@26506,4,37538
1@23757,5,37287
19@9428,6,37649
9@47435,5,37997
12@29064,7,37905
12@99955,8,37687
29@43813,7,38438
31@5007,6,38412
90,5871,40604
9@55128,4,38385
8@87821,3,38262
6@49923,1,38911
31@94192,13,38273
79@82599,1,36357
