keyword      , clientTime, serverTime, totalTime, resultLength, payloadSize, w1
F10800#F10584,        209,        129,       338,            0,         400, 10
F10800#F10435,         99,         69,       169,            0,         400, 10
F10800#F10017,         88,         70,       159,            0,         400, 10
F10800#F10027,         82,         74,       159,            0,         400, 10
F10800#F10095,         95,         69,       165,            0,         400, 10
F10800#F10049,         85,         67,       154,            0,         400, 10
F10800#F10181,         75,         74,       150,            0,         400, 10
F10800#F10324,         86,        147,       234,            0,         400, 10
F10800#F10764,         83,         75,       160,            0,         400, 10
F10800#F11431,        144,         69,       215,            0,         400, 10
F10800#F10360,         84,         70,       155,            0,         400, 10
F10800#F10688,         87,         75,       163,            0,         400, 10
F10800#F10067,         82,        123,       207,            0,         400, 10
F10800#F10252,         76,         70,       147,            0,         400, 10
F10800#F10227,         78,         66,       145,            0,         400, 10
F10800#F1009 ,         70,         64,       135,            0,         400, 10
F10800#F10109,         78,         68,       147,            0,         400, 10
F10800#F10074,         59,         63,       123,            0,         400, 10
F10800#F10084,         72,         82,       154,            0,         400, 10
F10800#F10318,         89,         64,       154,            0,         400, 10
F10800#F10119,         81,         67,       149,            0,         400, 10
F10800#F10185,         74,         82,       157,            0,         400, 10
F10800#F11093,         95,         65,       161,            0,         400, 10
F10800#F10288,         75,         67,       143,            0,         400, 10
F10800#F10412,         77,         60,       139,            0,         400, 10
F10800#F10929,         74,         64,       139,            0,         400, 10
F10800#F10871,         79,       7044,      7124,            0,         400, 10
F10800#F10243,        106,        117,       225,            0,         400, 10
F10800#F10008,         79,         49,       130,            0,         400, 10
F10800#F1017 ,        121,         81,       203,            0,         400, 10
F10800#F10245,         82,         64,       148,            0,         400, 10
F10800#F10913,         85,         63,       149,            0,         400, 10
F10800#F10070,         90,         72,       163,            0,         400, 10
F10800#F10522,         84,         70,       155,            0,         400, 10
F10800#F10587,         85,         69,       155,            0,         400, 10
F10800#F11237,         79,         70,       151,            0,         400, 10
F10800#F11664,         83,         67,       151,            0,         400, 10
F10800#F10001,         77,         68,       147,            0,         400, 10
F10800#F10125,         77,         69,       146,            0,         400, 10
F10800#F11102,        139,         65,       206,            0,         400, 10
F10800#F10425,         87,         66,       154,            0,         400, 10
F10800#F10718,         82,         67,       150,            0,         400, 10
F10800#F10689,         83,         68,       152,            0,         400, 10
F10800#F10167,         81,         72,       154,            0,         400, 10
F10800#F1015 ,         79,         65,       145,            0,         400, 10
F10800#F10215,         81,        124,       206,            0,         400, 10
F10800#F10518,         83,         65,       149,            0,         400, 10
F10800#F10050,         79,         70,       150,            0,         400, 10
F10800#F10665,         77,         67,       146,            0,         400, 10
F10800#F10477,         79,         69,       150,            0,         400, 10
F10800#F10173,         82,         64,       147,            0,         400, 10
F10800#F10007,         86,         67,       155,            0,         400, 10
F10800#F11813,         76,         64,       142,            0,         400, 10
F10800#F10229,         78,         65,       144,            0,         400, 10
F10800#F10209,         72,         78,       150,            0,         400, 10
F10800#F11048,         87,        104,       192,            0,         400, 10
F10800#F10446,         96,         71,       168,            0,         400, 10
F10800#F10026,         79,         78,       157,            0,         400, 10
F10800#F10322,         82,         79,       162,            0,         400, 10
F10800#F10232,         98,         88,       187,            0,         400, 10
F10800#F10000,         86,         68,       156,            0,         400, 10
F10800#F10123,         84,         68,       153,            0,         400, 10
F10800#F10208,         83,         64,       148,            0,         400, 10
F10800#F10009,         79,         71,       151,            0,         400, 10
