keyword     , clientTime, serverTime, totalTime, resultLength, payloadSize, w1
F1438#F11036,        977,        610,      1590,            2,       20000,   500
F1438#F10238,       1082,        572,      1657,            0,       20040,   501
F1438#F10519,       1001,        613,      1617,            2,       20080,   502
F1438#F13525,       1018,        659,      1681,            1,       20120,   503
F1438#F11706,       1043,        606,      1652,            0,       20160,   504
F1438#F11119,       1000,        604,      1607,            1,       20200,   505
F1438#F11553,       1018,        550,      1570,            3,       20240,   506
F1438#F10361,        987,        575,      1565,            1,       20280,   507
F1438#F13916,        976,        592,      1571,            0,       20320,   508
F1438#F13738,       1015,        580,      1597,            4,       20360,   509
F1438#F12037,        954,        556,      1513,            0,       20400,   510
F1438#F227  ,        971,        574,      1547,            1,       20440,   511
F1438#F10831,        978,        581,      1562,            2,       20480,   512
F1438#F10907,        987,        583,      1573,            1,       20520,   513
F1438#F12030,        986,        587,      1576,            2,       20560,   514
F1438#F10577,        981,        571,      1556,            1,       20600,   515
F1438#F10356,        918,        586,      1508,            1,       20640,   516
F1438#F10188,        998,        587,      1586,            1,       20680,   517
F1438#F10034,       1017,        603,      1623,            1,       20720,   518
F1438#F13740,       1182,        682,      1868,            1,       20760,   519
F1438#F10699,       1118,        648,      1770,            2,       20800,   520
F1438#F1143 ,       1041,        594,      1639,            5,       20840,   521
F1438#F10192,       1031,        683,      1719,            0,       20880,   522
F1438#F149  ,       1013,        619,      1635,            3,       20920,   523
F1438#F11519,       1037,        589,      1628,            1,       20960,   524
F1438#F10604,       1024,        566,      1592,            2,       21000,   525
F1438#F1062 ,        955,        607,      1565,            0,       21040,   526
F1438#F10549,       1079,        615,      1696,            4,       21080,   527
F1438#F10455,       1043,        672,      1720,            1,       21120,   528
F1438#F11286,       1038,        617,      1658,            0,       21160,   529
F1438#F1093 ,       1047,        654,      1703,            3,       21200,   530
F1438#F11336,       1025,        665,      1694,            1,       21240,   531
F1438#F10510,       1010,        626,      1637,            0,       21280,   532
F1438#F11015,       1038,        646,      1686,            0,       21320,   533
F1438#F10489,       1009,        593,      1605,            6,       21360,   534
F1438#F12672,       1073,        605,      1680,            1,       21400,   535
F1438#F14039,       1071,        643,      1718,            6,       21440,   536
F1438#F10309,       1039,        719,      1761,            1,       21480,   537
F1438#F1265 ,       1068,        691,      1762,            2,       21520,   538
F1438#F10411,       1060,        689,      1754,            2,       21560,   539
F1438#F17457,       1077,        719,      1798,            2,       21600,   540
F1438#F11108,       1108,        693,      1810,            1,       21640,   541
F1438#F12956,       1083,        642,      1727,            1,       21680,   542
F1438#F13   ,       1122,        702,      1825,            2,       21720,   543
F1438#F11887,       1109,        887,      2001,            2,       21760,   544
F1438#F10786,       1104,        591,      1697,            1,       21800,   545
F1438#F10346,       1085,        666,      1754,            2,       21840,   546
F1438#F12908,       1110,        656,      1768,            0,       21880,   547
F1438#F12527,       1067,        647,      1718,            3,       21920,   548
F1438#F11497,       1106,        612,      1720,            2,       21960,   549
F1438#F10521,       1038,        674,      1715,            1,       22000,   550
F1438#F10556,       1044,        651,      1699,            1,       22040,   551
F1438#F11856,       1076,        648,      1726,            4,       22080,   552
F1438#F12225,       1049,        681,      1733,            3,       22120,   553
F1438#F12713,       1116,        678,      1796,            3,       22160,   554
F1438#F14   ,       1044,        650,      1696,            1,       22200,   555
F1438#F12589,       1077,        598,      1678,            4,       22240,   556
F1438#F10853,       1160,        606,      1768,            1,       22280,   557
F1438#F11841,       1063,        700,      1765,            1,       22320,   558
F1438#F11573,       1105,        656,      1763,            1,       22360,   559
