keyword,volume,addTime,storageUpdateBytes
F302,71,13.023454ms,12480
F303,66,12.131055ms,11608
F304,57,10.875558ms,10016
F305,79,13.773844ms,13892
F306,70,13.136624ms,12304
F307,70,12.111517ms,12308
F308,35,6.137237ms,6148
F309,63,11.063416ms,11060
F310,64,11.502037ms,11244
F311,139,24.650696ms,24428
F312,76,13.97894ms,13364
F313,102,18.784396ms,17928
F314,98,17.031153ms,17220
F315,63,11.608418ms,11068
F316,100,17.953586ms,17568
F317,96,16.52259ms,16880
F318,64,11.416197ms,11240
F319,50,8.838219ms,8788
F320,68,11.801974ms,11964
F321,72,12.473389ms,12660
F322,62,10.945906ms,10884
F323,101,18.067031ms,17760
F324,114,19.537889ms,20044
F325,49,8.850242ms,8616
F326,118,21.107338ms,20728
F327,57,10.544461ms,10016
F328,53,9.276463ms,9324
F329,104,18.407682ms,18284
F330,102,17.511805ms,17932
F331,90,16.309707ms,15808
F332,83,14.609212ms,14584
F333,91,17.662103ms,15992
F334,68,13.216806ms,11936
F335,29,5.039713ms,5100
F336,99,17.672235ms,17404
F337,64,12.00635ms,11260
F338,41,7.97783ms,7208
F339,62,11.743311ms,10892
F340,91,15.774583ms,15988
F341,83,15.772732ms,14580
F342,100,19.298473ms,17556
F343,65,11.919728ms,11416
F344,43,7.464835ms,7556
F345,92,16.422693ms,16180
F346,58,10.07472ms,10184
F347,21,3.581854ms,3692
F348,54,10.2166ms,9492
F349,78,13.283527ms,13712
F350,60,10.766287ms,10552
F351,124,22.082856ms,21792
F352,104,17.917547ms,18284
F353,39,7.113144ms,6860
F354,62,10.894103ms,10900
F355,54,9.452104ms,9496
F356,14,2.312968ms,2464
F357,62,11.473858ms,10896
F358,111,18.990575ms,19504
F359,105,18.053008ms,18448
F360,52,9.865326ms,9136
F361,26,4.39953ms,4568
F362,99,17.927994ms,17384
F363,81,41.86268ms,14236
F364,93,35.278499ms,16344
F365,66,13.123938ms,11604
F366,40,7.912506ms,7032
F367,79,15.625043ms,13888
F373,80,15.650453ms,14060
F374,89,16.400288ms,15652
F375,60,10.86581ms,10548
F376,77,14.253819ms,13536
F382,38,7.010938ms,6668
F384,27,4.891477ms,4740
F385,46,8.477747ms,8088
F387,75,13.742456ms,13180
F389,132,24.248574ms,23196
F398,75,13.57366ms,13188
F400,95,17.16391ms,16696
F402,63,11.206744ms,11080
F404,96,17.474454ms,16880
F405,71,12.632987ms,12488
F406,41,7.081478ms,7216
F407,68,12.54057ms,11940
