keyword   , clientTime, serverTime, exTime, totalTime, resultLength, payloadSize, w1, w2
F285#F8715,         71,         59,      0,       130,            0,         360, 10,  177
F285#F3714,         77,         58,      0,       135,            0,         360, 10,  178
F285#F2833,         79,         68,      0,       147,            0,         360, 10,  179
F285#F5747,         70,         95,      0,       165,            0,         360, 10,  180
F285#F2914,         61,         52,      0,       113,            0,         360, 10,  181
F285#F4159,        102,        104,      0,       206,            0,         360, 10,  182
F285#F7590,         89,         61,      0,       150,            0,         360, 10,  183
F285#F2879,         88,        102,      0,       190,            0,         360, 10,  184
F285#F1183,         76,         60,      0,       136,            0,         360, 10,  185
F285#F478 ,        111,         62,      0,       173,            0,         360, 10,  186
F285#F2366,         79,        117,      0,       196,            0,         360, 10,  187
F285#F8562,        108,         90,      0,       198,            0,         360, 10,  188
F285#F7117,        102,         55,      0,       157,            0,         360, 10,  189
F285#F1777,         71,         91,      0,       162,            0,         360, 10,  190
F285#F5766,         76,         52,      0,       128,            0,         360, 10,  191
F285#F1346,         70,         91,      0,       161,            0,         360, 10,  192
F285#F2021,        118,         51,      0,       169,            0,         360, 10,  193
F285#F3589,         67,         51,      0,       118,            0,         360, 10,  194
F285#F7184,         88,         59,      0,       147,            0,         360, 10,  195
F285#F8748,         85,         53,      0,       138,            0,         360, 10,  196
F285#F1899,         69,         48,      0,       117,            0,         360, 10,  197
F285#F5214,         65,         94,      0,       159,            0,         360, 10,  198
F285#F5742,         67,         64,      0,       131,            0,         360, 10,  199
F285#F7202,         75,         95,      0,       170,            0,         360, 10,  200
F285#F8073,         66,         55,      0,       121,            0,         360, 10,  201
F285#F3916,         65,         52,      0,       117,            0,         360, 10,  202
F285#F3668,         65,         48,      0,       113,            0,         360, 10,  203
F285#F1062,        110,         57,      0,       167,            0,         360, 10,  204
F285#F2756,         75,         60,      0,       135,            0,         360, 10,  205
F285#F8641,         67,         90,      0,       157,            0,         360, 10,  206
F285#F2444,         67,         52,      0,       119,            0,         360, 10,  207
F285#F4597,         64,         57,      0,       121,            0,         360, 10,  208
F285#F6679,         72,         50,      0,       122,            0,         360, 10,  209
F285#F4759,         65,         49,      0,       114,            0,         360, 10,  210
F285#F484 ,        110,         52,      0,       162,            0,         360, 10,  211
F285#F8675,         71,         55,      0,       126,            0,         360, 10,  212
F285#F9248,         70,         53,      0,       123,            0,         360, 10,  213
F285#F1253,         66,         48,      0,       114,            0,         360, 10,  214
F285#F2695,         74,         49,      0,       123,            0,         360, 10,  215
F285#F7698,        108,         48,      0,       156,            0,         360, 10,  216
F285#F8912,         70,         46,      0,       116,            0,         360, 10,  217
F285#F3931,         66,         89,      0,       155,            0,         360, 10,  218
