updtw1,updtw2,storage
445,26946,197552.40000000002
446,26946,197608.80000000002
447,26946,197665.2
448,26946,197721.6
449,26946,197778.0
450,26946,197834.40000000002
451,26946,197890.80000000002
452,26946,197947.2
453,26946,198003.6
454,26946,198060.0
455,26946,198116.40000000002
456,26946,198172.80000000002
457,26946,198229.2
458,26946,198285.6
459,26946,198342.0
460,26946,198398.40000000002
461,26946,198454.80000000002
462,26946,198511.2
463,26946,198567.6
464,26946,198624.0
465,26946,198680.40000000002
466,26946,198736.80000000002
467,26946,198793.2
468,26946,198849.6
469,26946,198906.0
470,26946,198962.40000000002
471,26946,199018.80000000002
472,26946,199075.2
473,26946,199131.6
474,26946,199188.0
475,26946,199244.40000000002
476,26946,199300.80000000002
477,26946,199357.2
478,26946,199413.6
479,26946,199470.0
480,26946,199526.40000000002
481,26946,199582.80000000002
482,26946,199639.2
483,26946,199695.6
484,26946,199752.0
485,26946,199808.40000000002
486,26946,199864.80000000002
487,26946,199921.2
488,26946,199977.6
489,26946,200034.0
490,26946,200090.40000000002
491,26946,200146.80000000002
492,26946,200203.2
493,26946,200259.6
494,26946,200316.0
495,26946,200372.40000000002
496,26946,200428.80000000002
497,26946,200485.2
498,26946,200541.6
499,26946,200598.0
500,26946,200654.40000000002
501,26946,200710.80000000002
502,26946,200767.2
503,26946,200823.6
504,26946,200880.0
505,26946,200936.40000000002
506,26946,200992.80000000002
507,26946,201049.2
508,26946,201105.6
509,26946,201162.0
510,26946,201218.40000000002
511,26946,201274.80000000002
512,26946,201331.2
513,26946,201387.6
514,26946,201444.0
515,26946,201500.40000000002
516,26946,201556.80000000002
517,26946,201613.2
518,26946,201669.6
519,26946,201726.0
520,26946,201782.40000000002
521,26946,201838.80000000002
522,26946,201895.2
523,26946,201951.6
524,26946,202008.0
525,26946,202064.40000000002
526,26946,202120.80000000002
527,26946,202177.2
528,26946,202233.6
529,26946,202290.0
530,26946,202346.40000000002
531,26946,202402.80000000002
532,26946,202459.2
533,26946,202515.6
534,26946,202572.0
535,26946,202628.40000000002
536,26946,202684.80000000002
537,26946,202741.2
538,26946,202797.6
539,26946,202854.0
540,26946,202910.40000000002
541,26946,202966.80000000002
542,26946,203023.2
543,26946,203079.6
544,26946,203136.0
545,26946,203192.40000000002
546,26946,203248.80000000002
547,26946,203305.2
548,26946,203361.6
549,26946,203418.0
550,26946,203474.40000000002
551,26946,203530.80000000002
552,26946,203587.2
553,26946,203643.6
554,26946,203700.0
555,26946,203756.40000000002
556,26946,203812.80000000002
557,26946,203869.2
558,26946,203925.6
559,26946,203982.0
560,26946,204038.40000000002
561,26946,204094.80000000002
562,26946,204151.2
563,26946,204207.6
564,26946,204264.0
565,26946,204320.40000000002
566,26946,204376.80000000002
567,26946,204433.2
568,26946,204489.6
569,26946,204546.0
570,26946,204602.40000000002
571,26946,204658.80000000002
572,26946,204715.2
573,26946,204771.6
574,26946,204828.0
575,26946,204884.40000000002
576,26946,204940.80000000002
577,26946,204997.2
578,26946,205053.6
579,26946,205110.0
580,26946,205166.40000000002
581,26946,205222.80000000002
582,26946,205279.2
583,26946,205335.6
584,26946,205392.0
585,26946,205448.40000000002
586,26946,205504.80000000002
587,26946,205561.2
588,26946,205617.6
589,26946,205674.0
590,26946,205730.40000000002
591,26946,205786.80000000002
592,26946,205843.2
593,26946,205899.6
594,26946,205956.0
595,26946,206012.40000000002
596,26946,206068.80000000002
597,26946,206125.2
598,26946,206181.6
599,26946,206238.0
600,26946,206294.40000000002
601,26946,206350.80000000002
602,26946,206407.2
603,26946,206463.6
604,26946,206520.0
605,26946,206576.40000000002
606,26946,206632.80000000002
607,26946,206689.2
608,26946,206745.6
609,26946,206802.0
610,26946,206858.40000000002
611,26946,206914.80000000002
612,26946,206971.2
613,26946,207027.6
614,26946,207084.0
615,26946,207140.40000000002
616,26946,207196.80000000002
617,26946,207253.2
618,26946,207309.6
619,26946,207366.0
620,26946,207422.40000000002
621,26946,207478.80000000002
622,26946,207535.2
623,26946,207591.6
624,26946,207648.0
625,26946,207704.40000000002
626,26946,207760.80000000002
627,26946,207817.2
628,26946,207873.6
629,26946,207930.0
630,26946,207986.40000000002
631,26946,208042.80000000002
632,26946,208099.2
633,26946,208155.6
634,26946,208212.0
635,26946,208268.40000000002
636,26946,208324.80000000002
637,26946,208381.2
638,26946,208437.6
639,26946,208494.0
640,26946,208550.40000000002
641,26946,208606.80000000002
642,26946,208663.2
643,26946,208719.6
644,26946,208776.0
645,26946,208832.40000000002
646,26946,208888.80000000002
647,26946,208945.2
648,26946,209001.6
649,26946,209058.0
650,26946,209114.40000000002
651,26946,209170.80000000002
652,26946,209227.2
653,26946,209283.6
654,26946,209340.0
655,26946,209396.40000000002
656,26946,209452.80000000002
657,26946,209509.2
658,26946,209565.6
659,26946,209622.0
660,26946,209678.40000000002
661,26946,209734.80000000002
662,26946,209791.2
663,26946,209847.6
664,26946,209904.0
665,26946,209960.40000000002
666,26946,210016.80000000002
667,26946,210073.2
668,26946,210129.6
669,26946,210186.0
670,26946,210242.40000000002
671,26946,210298.80000000002
672,26946,210355.2
673,26946,210411.6
674,26946,210468.0
675,26946,210524.40000000002
676,26946,210580.80000000002
677,26946,210637.2
678,26946,210693.6
679,26946,210750.0
680,26946,210806.40000000002
681,26946,210862.80000000002
682,26946,210919.2
683,26946,210975.6
684,26946,211032.0
685,26946,211088.40000000002
686,26946,211144.80000000002
687,26946,211201.2
688,26946,211257.6
689,26946,211314.0
690,26946,211370.40000000002
691,26946,211426.80000000002
692,26946,211483.2
693,26946,211539.6
694,26946,211596.0
695,26946,211652.40000000002
696,26946,211708.80000000002
697,26946,211765.2
698,26946,211821.6
699,26946,211878.0
700,26946,211934.40000000002
701,26946,211990.80000000002
702,26946,212047.2
703,26946,212103.6
704,26946,212160.0
705,26946,212216.40000000002
706,26946,212272.80000000002
707,26946,212329.2
708,26946,212385.6
709,26946,212442.0
710,26946,212498.40000000002
711,26946,212554.80000000002
712,26946,212611.2
713,26946,212667.6
714,26946,212724.0
715,26946,212780.40000000002
716,26946,212836.80000000002
717,26946,212893.2
718,26946,212949.6
719,26946,213006.0
720,26946,213062.40000000002
721,26946,213118.80000000002
722,26946,213175.2
723,26946,213231.6
724,26946,213288.0
725,26946,213344.40000000002
726,26946,213400.80000000002
727,26946,213457.2
728,26946,213513.6
729,26946,213570.0
730,26946,213626.40000000002
