updtw1,updtw2,storage
386,16644,556059.2
387,16644,556109.44
388,16644,556159.68
389,16644,556209.92
390,16644,556260.16
391,16644,556310.4
392,16644,556360.64
393,16644,556410.88
394,16644,556461.12
395,16644,556511.36
396,16644,556561.6
397,16644,556611.84
398,16644,556662.08
399,16644,556712.32
400,16644,556762.56
401,16644,556812.8
402,16644,556863.04
403,16644,556913.28
404,16644,556963.52
405,16644,557013.76
406,16644,557064.0
407,16644,557114.24
408,16644,557164.48
409,16644,557214.72
410,16644,557264.96
411,16644,557315.2
412,16644,557365.44
413,16644,557415.68
414,16644,557465.92
415,16644,557516.16
416,16644,557566.4
417,16644,557616.64
418,16644,557666.88
419,16644,557717.12
420,16644,557767.36
421,16644,557817.6
422,16644,557867.84
423,16644,557918.08
424,16644,557968.32
425,16644,558018.56
426,16644,558068.8
427,16644,558119.04
428,16644,558169.28
429,16644,558219.52
430,16644,558269.76
431,16644,558320.0
432,16644,558370.24
433,16644,558420.48
434,16644,558470.72
435,16644,558520.96
436,16644,558571.2
437,16644,558621.44
438,16644,558671.68
439,16644,558721.92
440,16644,558772.16
441,16644,558822.4
442,16644,558872.64
443,16644,558922.88
444,16644,558973.12
445,16644,559023.36
446,16644,559073.6
447,16644,559123.84
448,16644,559174.08
449,16644,559224.32
450,16644,559274.56
451,16644,559324.8
452,16644,559375.04
453,16644,559425.28
454,16644,559475.52
455,16644,559525.76
456,16644,559576.0
457,16644,559626.24
458,16644,559676.48
459,16644,559726.72
460,16644,559776.96
461,16644,559827.2
462,16644,559877.44
463,16644,559927.68
464,16644,559977.92
465,16644,560028.16
466,16644,560078.4
467,16644,560128.64
468,16644,560178.88
469,16644,560229.12
470,16644,560279.36
471,16644,560329.6
472,16644,560379.84
473,16644,560430.08
474,16644,560480.32
475,16644,560530.56
476,16644,560580.8
477,16644,560631.04
478,16644,560681.28
479,16644,560731.52
480,16644,560781.76
481,16644,560832.0
482,16644,560882.24
483,16644,560932.48
484,16644,560982.72
485,16644,561032.96
486,16644,561083.2
487,16644,561133.44
488,16644,561183.68
489,16644,561233.92
490,16644,561284.16
491,16644,561334.4
492,16644,561384.64
493,16644,561434.88
494,16644,561485.12
495,16644,561535.36
496,16644,561585.6
497,16644,561635.84
498,16644,561686.08
499,16644,561736.32
500,16644,561786.56
501,16644,561836.8
502,16644,561887.04
503,16644,561937.28
504,16644,561987.52
505,16644,562037.76
506,16644,562088.0
507,16644,562138.24
508,16644,562188.48
509,16644,562238.72
510,16644,562288.96
511,16644,562339.2
512,16644,562389.44
513,16644,562439.68
514,16644,562489.92
515,16644,562540.16
516,16644,562590.4
517,16644,562640.64
518,16644,562690.88
519,16644,562741.12
520,16644,562791.36
521,16644,562841.6
522,16644,562891.84
523,16644,562942.08
524,16644,562992.32
525,16644,563042.56
526,16644,563092.8
527,16644,563143.04
528,16644,563193.28
529,16644,563243.52
530,16644,563293.76
531,16644,563344.0
532,16644,563394.24
533,16644,563444.48
534,16644,563494.72
535,16644,563544.96
536,16644,563595.2
537,16644,563645.44
538,16644,563695.68
539,16644,563745.92
540,16644,563796.16
541,16644,563846.4
542,16644,563896.64
543,16644,563946.88
544,16644,563997.12
545,16644,564047.36
546,16644,564097.6
547,16644,564147.84
548,16644,564198.08
549,16644,564248.32
550,16644,564298.56
551,16644,564348.8
552,16644,564399.04
553,16644,564449.28
554,16644,564499.52
555,16644,564549.76
556,16644,564600.0
557,16644,564650.24
558,16644,564700.48
559,16644,564750.72
560,16644,564800.96
561,16644,564851.2
562,16644,564901.44
563,16644,564951.68
564,16644,565001.92
565,16644,565052.16
566,16644,565102.4
567,16644,565152.64
568,16644,565202.88
569,16644,565253.12
570,16644,565303.36
571,16644,565353.6
572,16644,565403.84
573,16644,565454.08
574,16644,565504.32
575,16644,565554.56
576,16644,565604.8
577,16644,565655.04
578,16644,565705.28
579,16644,565755.52
580,16644,565805.76
581,16644,565856.0
582,16644,565906.24
583,16644,565956.48
584,16644,566006.72
585,16644,566056.96
586,16644,566107.2
587,16644,566157.44
588,16644,566207.68
589,16644,566257.92
590,16644,566308.16
591,16644,566358.4
592,16644,566408.64
593,16644,566458.88
594,16644,566509.12
595,16644,566559.36
596,16644,566609.6
597,16644,566659.84
598,16644,566710.08
599,16644,566760.32
600,16644,566810.56
601,16644,566860.8
602,16644,566911.04
603,16644,566961.28
604,16644,567011.52
605,16644,567061.76
606,16644,567112.0
607,16644,567162.24
608,16644,567212.48
609,16644,567262.72
610,16644,567312.96
611,16644,567363.2
612,16644,567413.44
613,16644,567463.68
614,16644,567513.92
615,16644,567564.16
616,16644,567614.4
617,16644,567664.64
618,16644,567714.88
619,16644,567765.12
620,16644,567815.36
621,16644,567865.6
622,16644,567915.84
623,16644,567966.08
624,16644,568016.32
625,16644,568066.56
626,16644,568116.8
627,16644,568167.04
628,16644,568217.28
629,16644,568267.52
630,16644,568317.76
631,16644,568368.0
632,16644,568418.24
633,16644,568468.48
634,16644,568518.72
635,16644,568568.96
636,16644,568619.2
637,16644,568669.44
638,16644,568719.68
639,16644,568769.92
640,16644,568820.16
641,16644,568870.4
642,16644,568920.64
643,16644,568970.88
644,16644,569021.12
645,16644,569071.36
646,16644,569121.6
647,16644,569171.84
648,16644,569222.08
649,16644,569272.32
650,16644,569322.56
651,16644,569372.8
652,16644,569423.04
653,16644,569473.28
654,16644,569523.52
655,16644,569573.76
656,16644,569624.0
657,16644,569674.24
658,16644,569724.48
659,16644,569774.72
660,16644,569824.96
661,16644,569875.2
662,16644,569925.44
663,16644,569975.68
664,16644,570025.92
665,16644,570076.16
666,16644,570126.4
667,16644,570176.64
668,16644,570226.88
669,16644,570277.12
670,16644,570327.36
671,16644,570377.6
672,16644,570427.84
673,16644,570478.08
674,16644,570528.32
675,16644,570578.56
676,16644,570628.8
677,16644,570679.04
678,16644,570729.28
679,16644,570779.52
680,16644,570829.76
681,16644,570880.0
682,16644,570930.24
683,16644,570980.48
684,16644,571030.72
685,16644,571080.96
686,16644,571131.2
687,16644,571181.44
688,16644,571231.68
689,16644,571281.92
690,16644,571332.16
691,16644,571382.4
692,16644,571432.64
693,16644,571482.88
694,16644,571533.12
695,16644,571583.36
696,16644,571633.6
697,16644,571683.84
698,16644,571734.08
699,16644,571784.32
700,16644,571834.56
701,16644,571884.8
