keyword      , clientTime, serverTime, totalTime, resultLength, payloadSize
F10800#F10167,         48,         36,        85,            0,         480
F10800#F1015 ,         95,         37,       133,            0,         480
F10800#F10215,         52,         84,       136,            0,         480
F10800#F10518,         53,         38,        92,            0,         480
F10800#F10050,         58,         43,       102,            0,         480
F10800#F10665,         54,         84,       139,            0,         480
F10800#F10477,         50,         86,       136,            0,         480
F10800#F10173,         47,         36,        83,            0,         480
F10800#F10007,         55,         40,        95,            0,         480
F10800#F11813,         50,         73,       124,            0,         480
F10800#F10229,         90,         35,       126,            0,         480
F10800#F10209,         53,         34,        88,            0,         480
F10800#F11048,         47,         36,        84,            0,         480
F10800#F10446,         49,         35,        84,            0,         480
F10800#F10026,         51,         35,        87,            0,         480
F10800#F10322,         51,         35,        88,            0,         480
F10800#F10232,         51,         86,       138,            0,         480
F10800#F10000,         48,         44,        93,            0,         480
F10800#F10123,         53,         36,        90,            0,         480
F10800#F10208,         48,         35,        83,            0,         480
F10800#F10009,         44,         36,        81,            0,         480
F10800#F11541,         49,         91,       141,            0,         480
F10800#F11400,         49,         43,        93,            0,         480
F10800#F10172,         56,         40,        96,            0,         480
F10800#F10101,         54,         40,        95,            0,         480
F10800#F11925,         50,         39,        89,            0,         480
F10800#F10799,         53,         38,        91,            0,         480
F10800#F1082 ,         58,         35,        94,            0,         480
F10800#F1077 ,         85,         46,       132,            0,         480
F10800#F10524,         71,         99,       171,            0,         480
F10800#F11045,         59,         40,       100,            0,         480
F10800#F1027 ,         57,         43,       102,            0,         480
F10800#F10448,         59,         41,       101,            0,         480
F10800#F10127,         51,         44,        95,            0,         480
F10800#F10134,         47,         39,        86,            0,         480
F10800#F1130 ,         54,         41,        95,            0,         480
F10800#F10258,         49,         38,        87,            0,         480
F10800#F11386,         53,         34,        88,            0,         480
F10800#F10156,         58,         83,       141,            0,         480
F10800#F1018 ,         47,         35,        83,            0,         480
F10800#F10078,         51,         44,        95,            0,         480
F10800#F11186,         46,         87,       133,            0,         480
F10800#F10025,         57,         44,       101,            0,         480
F10800#F10882,         54,         38,        93,            0,         480
F10800#F10935,         59,         88,       147,            0,         480
F10800#F10212,         46,         44,        90,            0,         480
F10800#F10129,         97,         52,       150,            0,         480
F10800#F10332,         57,         37,        95,            0,         480
F10800#F10321,         51,         34,        86,            0,         480
F10800#F10076,         56,         33,        90,            0,         480
F10800#F11545,         51,         40,        91,            0,         480
F10800#F11096,         47,         37,        84,            0,         480
F10800#F10060,         49,         87,       136,            0,         480
F10800#F10164,         47,         48,        96,            0,         480
F10800#F10389,         48,         37,        86,            0,         480
F10800#F10133,         47,         39,        87,            0,         480
F10800#F10248,         48,         32,        81,            0,         480
F10800#F11487,         85,         47,       132,            0,         480
F10800#F1016 ,         49,         35,        85,            0,         480
F10800#F10442,         52,         33,        86,            0,         480
F10800#F11185,         53,         39,        93,            0,         480
F10800#F10242,         48,         37,        85,            0,         480
F10800#F11334,         50,         41,        92,            0,         480
F10800#F10291,         48,         77,       126,            0,         480
F10800#F11405,         49,         41,        91,            0,         480
F10800#F1069 ,         99,         86,       186,            0,         480
F10800#F11584,         56,         41,        98,            0,         480
F10800#F10733,         55,         38,        94,            0,         480
F10800#F10476,         92,         84,       177,            0,         480
F10800#F10842,         48,         87,       136,            0,         480
F10800#F11211,         50,         90,       140,            0,         480
F10800#F10128,         55,         42,        97,            0,         480
F10800#F10105,         51,         88,       139,            0,         480
F10800#F10273,         48,         44,        93,            0,         480
F10800#F10284,         48,         34,        83,            0,         480
F10800#F10028,         50,         38,        88,            0,         480
F10800#F10554,         45,         34,        80,            0,         480
F10800#F10058,         49,         35,        85,            0,         480
F10800#F10439,         60,         38,        98,            0,         480
F10800#F11134,         50,         33,        84,            0,         480
F10800#F11785,         94,         39,       134,            0,         480
F10800#F10093,         48,         34,        83,            0,         480
F10800#F1108 ,         45,         34,        80,            0,         480
F10800#F10574,         44,         73,       118,            0,         480
F10800#F10553,         55,         57,       113,            0,         480
F10800#F10333,         60,         36,        97,            0,         480
F10800#F1085 ,         56,         91,       148,            0,         480
F10800#F10295,         54,         38,        93,            0,         480
F10800#F10262,         55,         85,       141,            0,         480
F10800#F10148,         68,         96,       165,            0,         480
F10800#F10486,         53,         38,        92,            0,         480
F10800#F1051 ,         48,         38,        87,            0,         480
F10800#F10075,         59,         89,       149,            0,         480
