keyword,clientTime,serverTime,totalTime,resultLength,payloadSize
F10800#F1077,235,176,412,0,480
F10800#F10524,239,171,411,0,480
F10800#F11045,243,195,439,0,480
F10800#F1027,251,167,419,0,480
F10800#F10448,240,194,435,0,480
F10800#F10127,420,261,682,0,480
F10800#F10134,370,226,597,0,480
F10800#F1130,251,256,508,0,480
F10800#F10258,252,185,438,0,480
F10800#F11386,247,211,459,0,480
F10800#F10156,246,191,438,0,480
F10800#F1018,276,216,492,0,480
F10800#F10078,250,203,453,0,480
F10800#F11186,234,190,425,0,480
F10800#F10025,231,181,413,0,480
F10800#F10882,245,175,421,0,480
F10800#F10935,248,180,429,0,480
F10800#F10212,246,190,437,0,480
F10800#F10129,266,187,453,0,480
F10800#F10332,238,201,440,0,480
F10800#F10321,238,187,426,0,480
F10800#F10076,253,218,472,0,480
F10800#F11545,424,194,618,0,480
F10800#F11096,421,184,606,0,480
F10800#F10060,253,187,441,0,480
F10800#F10164,263,195,459,0,480
F10800#F10389,266,185,452,0,480
F10800#F10133,428,195,623,0,480
F10800#F10248,254,202,457,0,480
F10800#F11487,259,211,471,0,480
F10800#F1016,256,182,439,0,480
F10800#F10442,243,188,432,0,480
F10800#F11185,274,196,471,0,480
F10800#F10242,254,195,449,0,480
F10800#F11334,256,198,455,0,480
F10800#F10291,273,200,474,0,480
F10800#F11405,254,210,465,0,480
F10800#F1069,272,246,519,0,480
F10800#F11584,334,206,541,0,480
F10800#F10733,301,192,494,0,480
F10800#F10476,276,185,462,0,480
F10800#F10842,264,194,459,0,480
F10800#F11211,281,196,478,0,480
F10800#F10128,277,206,483,0,480
F10800#F10105,256,196,453,0,480
F10800#F10273,265,189,455,0,480
F10800#F10284,256,190,447,0,480
F10800#F10028,280,213,494,0,480
F10800#F10554,282,191,474,0,480
F10800#F10058,269,205,475,0,480
F10800#F10439,268,200,469,0,480
F10800#F11134,277,190,468,0,480
F10800#F11785,255,200,455,0,480
F10800#F10093,275,201,477,0,480
F10800#F1108,274,192,467,0,480
F10800#F10574,281,202,484,0,480
F10800#F10553,277,183,461,0,480
F10800#F10333,287,193,480,0,480
F10800#F1085,267,183,452,0,480
F10800#F10295,275,211,488,0,480
F10800#F10262,279,204,484,0,480
F10800#F10148,291,203,495,0,480
F10800#F10486,282,203,486,0,480
F10800#F1051,286,173,461,0,480
F10800#F10075,288,197,486,0,480
F10800#F10137,291,222,513,0,480
F10800#F11306,296,218,515,0,480
F10800#F10840,282,189,472,0,480
F10800#F10144,269,203,472,0,480
F10800#F10030,287,198,487,0,480
F10800#F10682,293,189,483,0,480
F10800#F10003,274,209,484,0,480
F10800#F10331,287,197,485,0,480
F10800#F10803,286,199,487,0,480
F10800#F1004,288,185,474,0,480
F10800#F10569,284,219,504,0,480
F10800#F10051,296,206,502,0,480
F10800#F11141,295,194,490,0,480
F10800#F1310,279,199,480,0,480
F10800#F10363,287,211,499,0,480
F10800#F10677,311,212,524,0,480
F10800#F10753,550,266,817,0,480
F10800#F10196,314,257,572,0,480
F10800#F10251,293,208,502,0,480
F10800#F10473,291,198,490,0,480
F10800#F10327,297,212,510,0,480
F10800#F1081,280,212,492,0,480
F10800#F1007,295,197,493,0,480
F10800#F10969,295,192,488,0,480
F10800#F10107,304,218,523,0,480
F10800#F10359,291,216,509,0,480
F10800#F10002,308,283,592,0,480
F10800#F1008,294,226,521,0,480
F10800#F12082,295,197,492,0,480
F10800#F10059,279,220,501,0,480
F10800#F10269,298,205,503,0,480
F10800#F1105,305,201,507,0,480
F10800#F10184,339,278,618,0,480
F10800#F10701,322,225,547,0,480
F10800#F10883,294,196,491,0,480
F10800#F1057,314,212,527,0,480
F10800#F10071,312,263,576,0,480
F10800#F11041,296,217,514,0,480
F10800#F10203,299,206,507,0,480
F10800#F10352,311,218,530,0,480
F10800#F10168,315,216,532,0,480
F10800#F10461,315,202,517,0,480
F10800#F10145,304,203,507,0,480
F10800#F12033,328,214,544,0,480
F10800#F11179,306,209,516,0,480
F10800#F1,309,193,502,0,480
F10800#F11549,306,232,539,0,480
F10800#F10421,318,210,528,0,480
F10800#F10323,322,227,549,0,480
F10800#F10414,303,200,504,0,480
F10800#F12399,308,217,525,0,480
F10800#F10506,322,217,540,0,480
F10800#F10214,316,214,531,0,480
F10800#F11320,324,241,566,0,480
F10800#F10010,321,220,542,0,480
F10800#F10104,330,229,560,0,480
F10800#F10155,323,287,611,0,480
F10800#F10092,316,221,538,0,480
F10800#F11651,319,226,545,0,480
F10800#F1092,325,210,536,0,480
F10800#F10694,337,225,563,0,480
F10800#F10315,510,222,733,0,480
F10800#F13306,311,226,539,0,480
F10800#F11189,331,209,541,0,480
F10800#F10870,316,205,521,0,480
F10800#F12921,326,219,546,0,480
F10800#F10368,326,216,542,0,480
F10800#F11040,327,207,535,0,480
F10800#F10329,320,227,548,0,480
F10800#F12863,322,197,520,0,480
F10800#F10495,329,207,537,0,480
F10800#F11627,316,222,539,0,480
F10800#F10408,330,211,542,0,480
F10800#F11449,321,233,555,0,480
F10800#F10206,571,292,864,0,480
F10800#F10047,330,230,561,0,480
F10800#F10021,331,234,566,0,480
F10800#F10815,331,282,613,0,480
F10800#F10760,329,231,561,0,480
F10800#F11133,355,231,587,0,480
F10800#F10557,522,245,768,0,480
F10800#F10163,348,236,584,0,480
F10800#F10570,333,209,543,0,480
F10800#F10440,339,247,586,0,480
F10800#F10234,344,255,600,0,480
F10800#F10372,344,213,558,0,480
F10800#F10279,338,248,587,0,480
F10800#F11514,354,247,602,0,480
F10800#F10668,352,271,624,0,480
F10800#F10371,361,248,609,0,480
F10800#F1072,409,216,627,0,480
F10800#F10662,357,305,662,0,480
F10800#F10226,343,259,603,0,480
F10800#F10743,592,217,810,0,480
F10800#F10727,339,223,563,0,480
F10800#F10745,340,217,558,0,480
F10800#F11201,338,264,602,0,480
F10800#F11168,588,222,810,0,480
F10800#F10910,341,219,561,0,480
F10800#F1076,336,272,609,0,480
F10800#F11335,610,270,880,0,480
F10800#F10299,347,239,587,0,480
F10800#F10,369,220,590,0,480
F10800#F10404,351,283,635,0,480
F10800#F10526,360,226,586,0,480
F10800#F10514,353,267,621,0,480
F10800#F11910,639,313,953,0,480
F10800#F10064,400,249,650,0,480
F10800#F10972,345,221,567,0,480
F10800#F10676,343,225,569,0,480
F10800#F10117,363,255,619,0,480
F10800#F12634,351,224,575,0,480
F10800#F12273,351,235,587,0,480
F10800#F10857,345,223,569,0,480
F10800#F101,351,237,588,0,480
F10800#F10276,351,255,607,0,480
F10800#F10287,349,251,601,0,480
F10800#F10241,349,240,590,0,480
F10800#F10462,373,295,669,0,480
F10800#F1078,394,232,627,0,480
F10800#F11011,366,263,629,0,480
F10800#F10531,621,226,848,0,480
F10800#F13022,377,284,662,0,480
F10800#F10597,411,248,660,0,480
F10800#F10147,394,255,650,0,480
F10800#F10765,402,270,672,0,480
F10800#F11799,401,243,645,0,480
F10800#F10348,358,248,607,0,480
F10800#F12069,377,237,615,0,480
F10800#F11904,373,251,625,0,480
F10800#F11445,630,254,885,0,480
F10800#F11057,353,229,583,0,480
F10800#F1006,375,245,620,0,480
F10800#F12019,367,271,639,0,480
F10800#F11318,384,274,659,0,480
F10800#F11696,369,264,633,0,480
F10800#F10610,386,250,637,0,480
F10800#F10536,362,251,614,0,480
F10800#F10036,385,250,636,0,480
F10800#F10015,374,261,636,0,480
F10800#F10063,380,247,628,0,480
F10800#F10224,392,264,657,0,480
F10800#F11707,370,278,649,0,480
F10800#F10024,393,279,673,0,480
F10800#F10171,367,265,632,0,480
F10800#F11401,385,271,657,0,480
F10800#F10111,388,270,659,0,480
F10800#F1304,386,257,643,0,480
F10800#F10308,370,259,630,0,480
F10800#F10751,386,247,633,0,480
F10800#F13266,387,272,660,0,480
F10800#F10364,372,251,625,0,480
F10800#F12073,378,246,624,0,480
F10800#F10683,381,248,630,0,480
F10800#F10280,397,272,670,0,480
F10800#F10585,403,247,651,0,480
F10800#F12593,397,302,699,0,480
F10800#F10388,428,330,759,0,480
F10800#F12736,409,317,727,0,480
F10800#F10887,402,312,715,0,480
F10800#F10679,384,259,644,0,480
F10800#F10415,394,250,645,0,480
F10800#F12681,376,261,638,0,480
F10800#F12061,379,253,632,0,480
F10800#F10872,402,266,669,0,480
F10800#F12326,398,266,666,0,480
F10800#F1114,398,248,647,0,480
F10800#F10089,400,270,670,0,480
F10800#F13191,381,288,671,0,480
F10800#F12339,380,262,643,0,480
F10800#F12518,392,272,665,0,480
F10800#F10632,689,254,944,0,480
F10800#F10091,397,267,665,0,480
F10800#F106,414,241,656,0,480
