keyword,clientTime,serverTime,exTime,totalTime,resultLength,payloadSize,w1,w2
F19998#F6449,51,37,0,90,0,360,10,212
F19998#F6415,49,90,0,140,0,360,10,213
F19998#F6398,50,39,0,90,0,360,10,214
F19998#F6355,81,53,0,135,0,360,10,215
F19998#F6330,61,103,0,165,0,360,10,216
F19998#F6276,65,46,0,112,0,360,10,217
F19998#F6256,60,44,0,106,0,360,10,218
F19998#F6231,55,101,0,157,0,360,10,219
F19998#F6210,53,37,0,91,0,360,10,220
F19998#F6176,53,39,0,94,0,360,10,221
F19998#F6158,53,35,0,89,0,360,10,222
F19998#F6106,51,59,0,111,0,360,10,223
F19998#F6070,55,40,0,97,0,360,10,224
F19998#F6064,62,39,0,102,0,360,10,225
F19998#F6019,54,38,0,93,0,360,10,226
F19998#F5972,51,37,0,89,0,360,10,227
F19998#F5940,48,36,0,85,0,360,10,228
F19998#F5923,54,36,0,91,0,360,10,229
F19998#F5908,46,34,0,82,0,360,10,230
F19998#F5876,92,40,0,132,0,360,10,231
F19998#F5857,55,38,0,94,0,360,10,232
F19998#F5835,51,38,0,90,0,360,10,233
F19998#F5783,56,36,0,93,0,360,10,234
F19998#F5774,59,89,0,149,0,360,10,235
F19998#F5736,55,35,0,91,0,360,10,236
F19998#F5706,53,40,0,94,0,360,10,237
F19998#F5679,61,85,0,147,0,360,10,238
F19998#F5642,53,41,0,96,0,360,10,239
F19998#F5615,221,98,0,322,0,360,10,240
F19998#F5600,118,123,0,243,0,360,10,241
F19998#F5583,82,63,0,146,0,360,10,242
F19998#F5565,80,63,0,144,0,360,10,243
F19998#F5538,75,51,0,127,0,360,10,244
F19998#F5503,122,115,0,238,0,360,10,245
F19998#F5485,105,51,0,157,0,360,10,246
F19998#F5473,65,51,0,117,0,360,10,247
F19998#F5444,58,40,0,99,0,360,10,248
F19998#F5401,62,41,0,105,0,360,10,249
F19998#F5391,69,39,0,109,0,360,10,250
F19998#F5362,58,40,0,100,0,360,10,251
F19998#F5349,70,96,0,168,0,360,10,252
F19998#F5321,53,40,0,94,0,360,10,253
F19998#F5285,56,57,0,114,0,360,10,254
F19998#F5269,50,41,0,92,0,360,10,255
F19998#F5254,48,79,0,129,0,360,10,256
F19998#F5230,50,38,0,90,0,360,10,257
F19998#F5200,60,42,0,103,0,360,10,258
F19998#F5183,44,41,0,85,0,360,10,259
F19998#F5164,55,34,0,90,0,360,10,260
F19998#F5149,50,37,0,88,0,360,10,261
F19998#F5112,52,44,0,97,0,360,10,262
F19998#F5095,55,85,0,141,0,360,10,263
F19998#F5086,57,33,0,92,0,360,10,264
F19998#F5050,51,37,0,90,0,360,10,265
F19998#F5029,51,81,0,133,0,360,10,266
F19998#F5010,46,83,0,130,0,360,10,267
F19998#F4998,50,82,0,134,0,360,10,268
F19998#F4985,53,37,0,91,0,360,10,269
F19998#F4954,51,36,0,88,0,360,10,270
F19998#F4920,50,39,0,90,0,360,10,271
F19998#F4917,56,39,0,96,0,360,10,272
F19998#F4872,104,89,0,194,0,360,10,273
F19998#F4867,71,79,0,151,0,360,10,274
F19998#F4842,59,35,0,96,0,360,10,275
F19998#F4822,57,42,0,100,0,360,10,276
F19998#F4798,55,42,0,99,0,360,10,277
F19998#F4775,58,45,0,104,0,360,10,278
F19998#F4759,113,58,0,173,0,360,10,279
F19998#F4739,68,39,0,108,0,360,10,280
F19998#F4709,74,45,0,121,0,360,10,281
F19998#F4684,127,98,0,227,0,360,10,282
F19998#F4670,89,63,0,153,0,360,10,283
F19998#F4656,67,72,0,140,0,360,10,284
F19998#F4634,56,37,0,94,0,360,10,285
F19998#F4628,48,81,0,131,0,360,10,286
F19998#F4614,46,45,0,92,0,360,10,287
F19998#F4578,58,34,0,93,0,360,10,288
F19998#F4561,59,40,0,101,0,360,10,289
F19998#F4545,52,39,0,92,0,360,10,290
F19998#F4536,226,66,0,295,0,360,10,291
F19998#F4524,122,55,0,179,0,360,10,292
F19998#F4510,87,51,0,140,0,360,10,293
F19998#F4479,71,53,0,125,0,360,10,294
F19998#F4450,70,106,0,177,0,360,10,295
F19998#F4436,55,100,0,157,0,360,10,296
F19998#F4426,65,44,0,111,0,360,10,297
F19998#F4397,68,41,0,110,0,360,10,298
