KeywordCount, Counter, Storage(Bytes)
700,700,1400
701,701,1402
702,702,1404
703,703,1406
704,704,1408
705,705,1410
706,706,1412
707,707,1414
708,708,1416
709,709,1418
710,710,1420
711,711,1422
712,712,1424
713,713,1426
714,714,1428
715,715,1430
716,716,1432
717,717,1434
718,718,1436
719,719,1438
720,720,1440
721,721,1442
722,722,1444
723,723,1446
724,724,1448
725,725,1450
726,726,1452
727,727,1454
728,728,1456
729,729,1458
730,730,1460
731,731,1462
732,732,1464
733,733,1466
734,734,1468
735,735,1470
736,736,1472
737,737,1474
738,738,1476
739,739,1478
740,740,1480
741,741,1482
742,742,1484
743,743,1486
744,744,1488
745,745,1490
746,746,1492
747,747,1494
748,748,1496
749,749,1498
750,750,1500
751,751,1502
752,752,1504
753,753,1506
754,754,1508
755,755,1510
756,756,1512
757,757,1514
758,758,1516
759,759,1518
760,760,1520
761,761,1522
762,762,1524
763,763,1526
764,764,1528
765,765,1530
766,766,1532
767,767,1534
768,768,1536
769,769,1538
770,770,1540
771,771,1542
772,772,1544
773,773,1546
774,774,1548
775,775,1550
776,776,1552
777,777,1554
778,778,1556
779,779,1558
780,780,1560
781,781,1562
782,782,1564
783,783,1566
784,784,1568
785,785,1570
786,786,1572
787,787,1574
788,788,1576
789,789,1578
790,790,1580
791,791,1582
792,792,1584
793,793,1586
794,794,1588
795,795,1590
796,796,1592
797,797,1594
798,798,1596
799,799,1598
800,800,1600
801,801,1602
802,802,1604
803,803,1606
804,804,1608
805,805,1610
806,806,1612
807,807,1614
808,808,1616
809,809,1618
810,810,1620
811,811,1622
812,812,1624
813,813,1626
814,814,1628
815,815,1630
816,816,1632
817,817,1634
818,818,1636
819,819,1638
820,820,1640
821,821,1642
822,822,1644
823,823,1646
824,824,1648
825,825,1650
826,826,1652
827,827,1654
828,828,1656
829,829,1658
830,830,1660
831,831,1662
832,832,1664
833,833,1666
834,834,1668
835,835,1670
836,836,1672
837,837,1674
838,838,1676
839,839,1678
840,840,1680
841,841,1682
842,842,1684
843,843,1686
844,844,1688
845,845,1690
846,846,1692
847,847,1694
848,848,1696
849,849,1698
850,850,1700
851,851,1702
852,852,1704
853,853,1706
854,854,1708
855,855,1710
856,856,1712
857,857,1714
858,858,1716
859,859,1718
860,860,1720
861,861,1722
862,862,1724
863,863,1726
864,864,1728
865,865,1730
866,866,1732
867,867,1734
868,868,1736
869,869,1738
870,870,1740
871,871,1742
872,872,1744
873,873,1746
874,874,1748
875,875,1750
876,876,1752
877,877,1754
878,878,1756
879,879,1758
880,880,1760
881,881,1762
882,882,1764
883,883,1766
884,884,1768
885,885,1770
886,886,1772
887,887,1774
888,888,1776
889,889,1778
890,890,1780
891,891,1782
892,892,1784
893,893,1786
894,894,1788
895,895,1790
896,896,1792
897,897,1794
898,898,1796
899,899,1798
900,900,1800
901,901,1802
902,902,1804
903,903,1806
904,904,1808
905,905,1810
906,906,1812
907,907,1814
908,908,1816
909,909,1818
910,910,1820
911,911,1822
912,912,1824
913,913,1826
914,914,1828
915,915,1830
916,916,1832
917,917,1834
918,918,1836
919,919,1838
920,920,1840
921,921,1842
922,922,1844
923,923,1846
924,924,1848
925,925,1850
926,926,1852
927,927,1854
928,928,1856
929,929,1858
930,930,1860
931,931,1862
932,932,1864
933,933,1866
934,934,1868
935,935,1870
936,936,1872
937,937,1874
938,938,1876
939,939,1878
940,940,1880
941,941,1882
942,942,1884
943,943,1886
944,944,1888
945,945,1890
946,946,1892
947,947,1894
948,948,1896
949,949,1898
950,950,1900
951,951,1902
952,952,1904
953,953,1906
954,954,1908
955,955,1910
956,956,1912
957,957,1914
958,958,1916
959,959,1918
960,960,1920
961,961,1922
962,962,1924
