keyword,clientSearchTime,serverTime,resultLength
F14238#F54529,1.295598ms,687.78756ms,4
F18505#F40211,1.386942ms,825.303353ms,6
F896#F41443,1.078507ms,749.148907ms,3
F61154#F22473,717.028µs,884.172606ms,0
F42255#F26583,890.219µs,829.048471ms,0
F24440#F18070,2.021457ms,906.489949ms,8
F45491#F47597,1.08965ms,690.204933ms,3
F61727#F19463,684.11µs,796.085562ms,2
F2716#F40630,1.7616ms,950.742316ms,16
F6428#F45092,1.342333ms,909.126135ms,7
F35604#F37232,744.148µs,1.052283586s,1
F48391#F9448,1.576038ms,630.861141ms,7
F44278#F51755,968.098µs,661.526987ms,5
F14968#F8172,2.619674ms,1.162634539s,27
F48416#F17827,1.450065ms,753.801084ms,5
F62365#F26533,855.7µs,766.363344ms,2
F5960#F36393,1.599786ms,907.40115ms,9
F26166#F6811,2.14802ms,1.051410844s,14
F62972#F31143,788.816µs,967.035434ms,0
F60295#F59179,932.475µs,751.919651ms,0
F63510#F25579,720.818µs,928.066374ms,1
F29258#F12342,1.936675ms,1.067601008s,12
F23269#F15411,2.740227ms,1.197315907s,17
F3258#F41479,1.579295ms,1.034914196s,13
F16407#F4842,2.457373ms,1.196266613s,20
F44945#F38369,1.345196ms,750.396403ms,5
F2176#F60523,721.683µs,1.061722313s,1
F12239#F40834,2.254247ms,1.186768565s,15
F40564#F21801,2.034859ms,1.108602829s,11
F42670#F19712,1.995817ms,705.099845ms,10
F46579#F1658,1.196691ms,640.093964ms,5
F10457#F16336,2.051732ms,1.221472727s,22
F35298#F25575,750.567µs,1.012626839s,0
F18316#F3005,3.67574ms,1.179346057s,39
F4357#F22586,1.748759ms,919.984219ms,11
F475#F25417,2.487184ms,1.218876814s,22
F5430#F8573,2.318434ms,1.360337734s,29
F55012#F57640,885.027µs,771.070431ms,1
F25417#F53408,960.993µs,698.659151ms,0
F13862#F25353,2.788525ms,1.20541813s,29
F59825#F62385,792.516µs,1.022972537s,0
F12816#F32904,663.348µs,985.49885ms,1
F49498#F20688,1.73315ms,674.782376ms,7
F53071#F46029,736.023µs,726.262834ms,1
F27376#F55535,987.891µs,715.573416ms,1
F4245#F6902,3.559842ms,1.254117104s,31
F12751#F50340,1.017073ms,708.49705ms,2
F51934#F48110,1.320412ms,663.102973ms,3
F52522#F5823,1.839332ms,863.153465ms,5
F52297#F21093,734.434µs,1.014098147s,1
F11693#F42785,1.432657ms,681.029322ms,6
F17070#F53264,662.796µs,947.874888ms,0
F19898#F53902,1.594169ms,662.49691ms,4
F35891#F62133,763.739µs,976.138436ms,1
F31249#F18437,567.67µs,768.672313ms,2
F63429#F51367,681.678µs,1.022435999s,0
F6746#F39505,2.572681ms,1.181667691s,17
F6696#F56346,773.951µs,1.044129149s,1
F26013#F42504,900.711µs,834.396439ms,1
F23409#F44655,1.996195ms,1.020026152s,6
F25997#F32144,751.75µs,1.000751641s,1
F40243#F20417,2.591658ms,1.004068592s,13
F55543#F21214,726.066µs,988.55546ms,0
F41939#F16108,1.7946ms,915.371132ms,9
F39471#F17491,723.627µs,1.159785829s,1
F16095#F29439,2.101056ms,1.099265036s,16
F61891#F9738,730.113µs,1.011255969s,1
F34087#F60292,1.707653ms,678.951565ms,2
F13702#F33652,746.771µs,1.031528661s,1
F42350#F41836,905.29µs,799.397121ms,1
F49019#F35865,715.899µs,1.017237931s,0
F26286#F24914,666.282µs,993.546602ms,1
F25841#F28266,2.002625ms,662.419195ms,5
F14971#F38271,1.573068ms,978.806496ms,9
F16849#F1107,3.236416ms,1.211931175s,33
F53226#F10996,1.079845ms,710.439932ms,3
F59611#F42984,750.095µs,1.079998894s,1
F934#F52141,666.288µs,957.491595ms,1
F38436#F34919,982.186µs,847.689677ms,1
F22626#F56762,1.075472ms,691.250312ms,4
F37646#F57185,741.125µs,734.781934ms,0
F31684#F47941,666.142µs,1.050717993s,1
F41520#F35895,649.634µs,1.006795593s,1
F6186#F35185,1.666615ms,671.737127ms,5
F61018#F1276,723.94µs,1.193262106s,0
F14298#F45986,1.776381ms,711.238458ms,6
F58052#F1579,1.033538ms,676.906534ms,4
F40765#F19084,1.496304ms,815.211548ms,7
F62581#F31554,746.727µs,1.096335648s,0
F62571#F62913,693.128µs,1.126897383s,0
F711#F42708,1.920938ms,956.340212ms,14
F27100#F55589,727.133µs,1.048390787s,1
F60366#F51295,662.635µs,1.076051355s,1
F22757#F2100,2.694334ms,1.206416731s,26
F30998#F48053,1.399752ms,686.52199ms,3
F15726#F9675,2.030931ms,1.189644823s,14
F54383#F54612,932.488µs,764.126301ms,0
F61143#F46492,1.001106ms,761.077492ms,2
F12872#F7295,2.27822ms,1.194072167s,18
F51737#F41293,1.128348ms,785.762166ms,0
F10537#F57251,973.408µs,855.229283ms,1
F28161#F31599,1.204846ms,653.177206ms,1
F51845#F37815,847.279µs,816.246093ms,0
F5457#F37649,2.270807ms,1.101861983s,12
F17475#F4147,2.751323ms,1.319762152s,28
F55782#F47126,1.192699ms,745.235664ms,3
F11246#F25643,4.014931ms,1.165022407s,19
F60708#F5533,948.397µs,743.202288ms,2
F47223#F24252,1.42019ms,662.791573ms,3
F7193#F62886,727.526µs,995.008436ms,1
F28280#F10212,2.497465ms,1.080772539s,12
F63020#F16876,709.45µs,1.123088731s,1
F9471#F27801,677.542µs,994.605057ms,1
F21617#F43450,2.11817ms,1.007784094s,13
F9326#F17757,2.849678ms,1.198711221s,30
F60661#F3026,734.244µs,920.421902ms,1
F27892#F5777,2.448412ms,1.01547938s,15
F6385#F21954,1.620887ms,841.848518ms,6
F18160#F13802,2.475144ms,1.196967212s,11
F27350#F4204,1.098628ms,699.695809ms,4
F13303#F24313,3.896435ms,844.227532ms,12
F60863#F45421,713.519µs,954.684332ms,1
F62500#F28045,686.649µs,991.700395ms,0
F44119#F49658,1.331731ms,685.246844ms,4
F2805#F48616,715.662µs,917.093039ms,0
F24628#F55094,1.993579ms,875.599383ms,7
F55659#F4612,1.285597ms,656.185602ms,5
F26362#F40509,1.217816ms,700.708705ms,2
F16180#F6797,2.33174ms,1.201954139s,20
F15918#F45357,1.55927ms,1.040058653s,3
F27623#F34203,1.307797ms,722.103623ms,6
F50682#F30191,1.130359ms,668.786256ms,1
F52401#F15236,807.755µs,1.051386826s,1
F43749#F29981,1.544711ms,686.937138ms,2
F61512#F44747,731.42µs,914.41249ms,1
